	Unnamed							
Time	ax	ay	az	qx	qy	qz	qw
4,400	0,603	-0,487	0,352	0,868	0,006	0,472	0,151
4,416	0,487	-0,468	0,510	0,842	-0,021	0,516	0,152
4,432	0,326	-0,432	0,646	0,812	-0,052	0,559	0,159
4,448	0,110	-0,398	0,766	0,779	-0,085	0,599	0,168
4,464	-0,152	-0,375	0,847	0,741	-0,121	0,636	0,179
4,480	-0,430	-0,351	0,856	0,701	-0,159	0,669	0,188
4,496	-0,718	-0,328	0,754	0,655	-0,204	0,702	0,195
4,512	-0,943	-0,320	0,536	0,613	-0,245	0,726	0,197
4,528	-1,122	-0,319	0,189	0,572	-0,288	0,746	0,193
4,544	-1,232	-0,291	-0,267	0,532	-0,330	0,760	0,185
4,560	-1,254	-0,192	-0,763	0,495	-0,372	0,769	0,174
4,576	-1,189	-0,014	-1,216	0,459	-0,411	0,775	0,158
4,592	-1,036	0,204	-1,584	0,427	-0,446	0,777	0,141
4,608	-0,779	0,417	-1,871	0,398	-0,477	0,778	0,121
4,624	-0,422	0,585	-2,088	0,375	-0,502	0,776	0,101
4,640	0,004	0,688	-2,230	0,357	-0,523	0,774	0,080
4,656	0,446	0,723	-2,294	0,344	-0,538	0,771	0,061
4,672	0,844	0,698	-2,295	0,336	-0,548	0,768	0,045
4,688	1,147	0,633	-2,262	0,333	-0,553	0,766	0,034
4,704	1,306	0,568	-2,214	0,336	-0,553	0,764	0,029
4,720	1,283	0,523	-2,168	0,343	-0,550	0,762	0,031
4,736	1,106	0,462	-2,134	0,356	-0,543	0,760	0,037
4,752	0,855	0,351	-2,114	0,373	-0,533	0,757	0,049
4,768	0,581	0,190	-2,113	0,396	-0,520	0,753	0,063
4,784	0,299	-0,002	-2,125	0,422	-0,506	0,746	0,080
4,800	0,006	-0,199	-2,151	0,452	-0,491	0,737	0,099
4,816	-0,311	-0,369	-2,187	0,483	-0,475	0,725	0,120
4,832	-0,664	-0,483	-2,227	0,516	-0,458	0,708	0,142
4,848	-1,056	-0,518	-2,250	0,550	-0,442	0,688	0,167
4,864	-1,530	-0,462	-2,231	0,588	-0,423	0,661	0,197
